,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
120,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,CrossFit Ridgewood,40.71171,-73.89977,63-49 60th Pl,2629,11385,Ridgewood,NY,Gym / Fitness Center
121,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,Crow Hill CrossFit,40.67768653054873,-73.95677179098129,1010 Dean St,1652,11238,Brooklyn,NY,Gym
122,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,Bushwick CrossFit,40.703433968199775,-73.93095418810844,10 Wilson Ave,2022,11237,Brooklyn,NY,Gym / Fitness Center
123,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,LTrain CrossFit,40.71148487197682,-73.94578712977734,667 Grand St,2720,11211,Brooklyn,NY,Gym / Fitness Center
124,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,Crossfit Kingsboro,40.68006491229371,-73.96083801950718,1000 Atlantic Ave,1795,11238,Brooklyn,NY,Gym / Fitness Center
125,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,Crossfit BQE,40.687133932943645,-73.90619787369249,698 Central Ave,3003,11207,Brooklyn,NY,Athletics & Sports
126,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,CrossFit Prospect Heights,40.68066094103169,-73.97400039656718,623 Bergen St,2816,11238,Brooklyn,NY,Gym / Fitness Center
127,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,WillyB Crossfit,40.707827833118586,-73.94877866580192,41 Meserole Street,2367,,Brooklyn,NY,Gym
128,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,CrossFit Outbreak,40.69755415417896,-73.96498985427989,10 Grand Ave,2270,11205,Brooklyn,NY,Gym
129,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,Crossfit Outbreak,40.686849845476694,-73.94175109166727,492 Throop Ave,42,11221,New York,NY,Gym / Fitness Center
130,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,Crossfit Outbreak,40.695908,-73.93364,1000 Broadway,1185,11221,Brooklyn,NY,Gym / Fitness Center
131,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304,CrossFit DeBo,40.710137651424134,-73.93635749816895,306 Stagg St,2590,11206,Brooklyn,NY,Gym / Fitness Center
132,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Crossfit South Brooklyn,40.6793845048432,-73.98371438935206,597 Degraw St,2021,11217,Brooklyn,NY,Gym
133,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit Dumbo,40.70355587265485,-73.98779136884086,48 Pearl St,994,11201,Brooklyn,NY,Gym
134,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Bowery CrossFit,40.71781226812158,-73.99262371362899,285 Grand St,2445,10002,New York,NY,Gym
135,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit Red Hook,40.68119660398171,-74.00834022022252,209 Van Brunt St,2043,11231,Brooklyn,NY,Gym / Fitness Center
136,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit Prospect Heights,40.68066094103169,-73.97400039656718,623 Bergen St,2377,11238,Brooklyn,NY,Gym / Fitness Center
137,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Crossfit Wall Street,40.70554386423745,-74.01213909064103,60 New St,1887,10004,New York,NY,Gym
138,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit 212 TriBeCa,40.714537431170484,-74.00599852611592,281 Broadway,2320,10007,New York,NY,Gym
139,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Just Train,40.70947002162219,-74.00983963357307,6 Maiden Ln,2032,10038,New York,NY,Gym
140,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit Outbreak,40.69755415417896,-73.96498985427989,10 Grand Ave,2437,11205,Brooklyn,NY,Gym
141,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Crossfit 212,40.71805284050912,-74.00475220100614,84 Franklin St,2637,10013,New York,NY,Gym / Fitness Center
142,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit 212 FiDi,40.70370900153129,-74.01152898481944,Stone,1733,10004,New York,NY,Gym / Fitness Center
143,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,CrossFit Wall Street,40.70974343802443,-74.0065837982249,111 Fulton St,1885,10038,New York,NY,Gym / Fitness Center
144,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Oculus Crossfit,40.70977302010993,-74.0065501436561,151 William St,1886,10038,New York,NY,Gym / Fitness Center
145,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Park Slope Crossfit,40.68155605033434,-73.97951811393598,500 Bergen St,1996,11217,Brooklyn,NY,Gym / Fitness Center
146,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Crossfit Outbreak,40.710482,-73.966665,415 Wythe Ave,2808,11249,Brooklyn,NY,Gym
147,Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432,Class One Mixed Martial Arts & CrossFit,40.68168067415296,-73.97998644894972,85 4th Ave,1961,11217,Brooklyn,NY,Martial Arts Dojo
148,Brooklyn,Cobble Hill,40.68791972248561,-73.9985613921847,Crossfit South Brooklyn,40.6793845048432,-73.98371438935206,597 Degraw St,1572,11217,Brooklyn,NY,Gym
